cardId,deckId,botType,inDeck,startHand,drawn,played,notPlayed,endHand,playRate,winRateInDeck,winRateDrawn,winRatePlayed,averagePlayRound,creatureDamage,baseDamage,healing,kills
ratte,a1_rudeljaeger,standard,300,54,196,183,13,13,0.9336734693877551,0.57,0.5816326530612245,0.5628415300546448,5.6775956284153,559,213,0,135
streunerkatze,a1_rudeljaeger,standard,600,123,385,358,27,28,0.9298701298701298,0.57,0.5657370517928287,0.5635593220338984,4.860335195530726,1077,421,0,263
getigerter,a1_rudeljaeger,standard,600,133,418,401,17,17,0.9593301435406698,0.57,0.5864661654135338,0.5877862595419847,5.326683291770574,1440,772,0,283
hauskater,a1_rudeljaeger,standard,600,104,374,320,54,54,0.8556149732620321,0.57,0.5450819672131147,0.5280373831775701,6.928125,599,17,0,117
wolf,a1_rudeljaeger,standard,600,117,388,346,42,42,0.8917525773195877,0.57,0.5490196078431373,0.5299145299145299,6.300578034682081,1009,170,0,221
wilder_instinkt,a1_rudeljaeger,standard,600,122,401,357,44,44,0.8902743142144638,0.57,0.5634328358208955,0.5458333333333333,6.8879551820728295,0,0,0,0
pferd,a1_rudeljaeger,standard,600,112,395,388,7,7,0.9822784810126582,0.57,0.55893536121673,0.5572519083969466,5.376288659793815,1694,523,0,353
schwarze_katze,a1_rudeljaeger,standard,600,117,373,352,21,21,0.9436997319034852,0.57,0.5725190839694656,0.5668016194331984,6.1022727272727275,1379,382,0,302
katzenmutter,a1_rudeljaeger,standard,600,123,382,352,30,30,0.9214659685863874,0.57,0.5444015444015444,0.525,6.045454545454546,888,138,0,201
luchs,a1_rudeljaeger,standard,300,75,181,176,5,5,0.9723756906077348,0.57,0.6077348066298343,0.6022727272727273,6.698863636363637,1059,301,0,211
alphawolf,a1_rudeljaeger,standard,600,120,326,317,9,9,0.9723926380368099,0.57,0.5739130434782609,0.5829596412556054,7.10410094637224,1332,185,0,252
compsognathus,a4_urzeitliches_rudel,standard,600,118,398,337,61,62,0.8467336683417085,0.5366666666666666,0.573076923076923,0.5411255411255411,3.833827893175074,595,184,0,118
wolf,a4_urzeitliches_rudel,standard,600,124,398,334,64,65,0.8391959798994975,0.5366666666666666,0.5576208178438662,0.5289256198347108,4.559880239520958,1084,197,0,244
wilder_instinkt,a4_urzeitliches_rudel,standard,600,114,412,363,49,49,0.8810679611650486,0.5366666666666666,0.5551470588235294,0.5714285714285714,6.418732782369146,0,0,0,0
velociraptor,a4_urzeitliches_rudel,standard,600,121,382,338,44,44,0.8848167539267016,0.5366666666666666,0.5572519083969466,0.5606694560669456,5.7514792899408285,1690,378,0,341
pferd,a4_urzeitliches_rudel,standard,600,130,397,366,31,31,0.9219143576826196,0.5366666666666666,0.5687022900763359,0.5669291338582677,4.863387978142076,2205,478,0,471
triceratops,a4_urzeitliches_rudel,standard,600,108,341,293,48,48,0.8592375366568915,0.5366666666666666,0.5702479338842975,0.5701357466063348,6.023890784982935,1508,173,0,365
pteranodon,a4_urzeitliches_rudel,standard,600,127,333,225,108,108,0.6756756756756757,0.5366666666666666,0.5932203389830508,0.6046511627906976,7.297777777777778,807,110,0,166
spinosaurus,a4_urzeitliches_rudel,standard,600,116,362,228,134,134,0.6298342541436464,0.5366666666666666,0.536,0.6583850931677019,9.223684210526315,570,265,0,79
brachiosaurus,a4_urzeitliches_rudel,standard,600,121,334,277,57,57,0.8293413173652695,0.5366666666666666,0.5606694560669456,0.6461538461538462,8.324909747292418,1192,568,0,161
tyrannosaurus_rex,a4_urzeitliches_rudel,standard,300,66,187,155,32,32,0.8288770053475936,0.5366666666666666,0.6310160427807486,0.7032258064516129,8.07741935483871,785,459,0,81
alphawolf,a4_urzeitliches_rudel,standard,300,55,181,166,15,15,0.9171270718232044,0.5366666666666666,0.5966850828729282,0.608433734939759,6.289156626506024,780,103,0,149
rekrut,h1_solidaritaet,standard,300,62,213,179,34,35,0.8403755868544601,0.4533333333333333,0.4507042253521127,0.4245810055865922,5.5027932960893855,402,85,0,92
flugblatt_verteiler,h1_solidaritaet,standard,600,108,425,374,51,51,0.88,0.4533333333333333,0.45588235294117646,0.43902439024390244,5.286096256684492,1013,195,0,221
der_alte_hund,h1_solidaritaet,standard,600,124,427,393,34,34,0.9203747072599532,0.4533333333333333,0.45018450184501846,0.4453125,6,803,138,0,249
streikposten,h1_solidaritaet,standard,600,121,423,405,18,18,0.9574468085106383,0.4533333333333333,0.44802867383512546,0.44074074074074077,5.985185185185185,536,59,0,142
feldscherin,h1_solidaritaet,standard,600,131,437,373,64,64,0.8535469107551488,0.4533333333333333,0.4349442379182156,0.41702127659574467,7.016085790884718,316,43,150,104
basisdemokratie,h1_solidaritaet,standard,900,175,632,614,18,18,0.9715189873417721,0.4533333333333333,0.45674740484429066,0.4583333333333333,5.809446254071661,2686,309,0,619
schrottsammlerin,h1_solidaritaet,standard,600,123,419,399,20,20,0.9522673031026253,0.4533333333333333,0.4542124542124542,0.4580152671755725,6.756892230576441,1293,121,0,307
generalstreik,h1_solidaritaet,standard,600,116,378,368,10,10,0.9735449735449735,0.4533333333333333,0.4470588235294118,0.44881889763779526,7.543478260869565,0,0,0,0
die_massen,h1_solidaritaet,standard,600,115,391,380,11,11,0.9718670076726342,0.4533333333333333,0.5075757575757576,0.5134099616858238,8.1,2504,1529,0,296
improvisiertes_lager,h1_solidaritaet,standard,300,59,205,205,0,0,1,0.4533333333333333,0.4585365853658537,0.4585365853658537,5.878048780487805,759,114,0,185
gewerkschaftssekretaerin,h1_solidaritaet,standard,300,66,193,183,10,10,0.9481865284974094,0.4533333333333333,0.44559585492227977,0.4371584699453552,7.049180327868853,690,103,0,159
