deckId,round,averageBaseHealth,averageBoardSize,averageHandSize,averageUnusedEnergy,averageControlledLanes
a1_rudeljaeger,1,12,0,4,1,0
a1_rudeljaeger,2,12,0.5866666666666667,4.413333333333333,2,0.5866666666666667
a1_rudeljaeger,3,11.286666666666667,1.38,4.443333333333333,3,0.8533333333333334
a1_rudeljaeger,4,10.242718446601941,1.6634304207119741,4.391585760517799,3.896440129449838,1.2071197411003236
a1_rudeljaeger,5,9.427631578947368,2.0953947368421053,4.003289473684211,4.802631578947368,1.4210526315789473
a1_rudeljaeger,6,8.422077922077921,2.6201298701298703,3.425324675324675,5.538961038961039,1.396103896103896
a1_rudeljaeger,7,8.04332129963899,2.935018050541516,2.6570397111913358,6.602888086642599,1.552346570397112
a1_rudeljaeger,8,6.525490196078431,3.003921568627451,1.8588235294117648,7.623529411764705,1.592156862745098
a1_rudeljaeger,9,4.972350230414746,2.8294930875576036,1.576036866359447,8.539170506912443,1.3548387096774193
a1_rudeljaeger,10,4.825842696629214,2.842696629213483,1.2640449438202248,9.5561797752809,1.348314606741573
a1_rudeljaeger,11,4.098684210526316,2.861842105263158,1.105263157894737,10.578947368421053,1.361842105263158
a1_rudeljaeger,12,3.909090909090909,3.1272727272727274,1.1727272727272726,11.545454545454545,1.5363636363636364
a1_rudeljaeger,13,3.311111111111111,3.2333333333333334,1.0666666666666667,12.466666666666667,1.5555555555555556
a1_rudeljaeger,14,3.543859649122807,3.263157894736842,1.087719298245614,13.403508771929825,1.4035087719298245
a1_rudeljaeger,15,3.0851063829787235,3.595744680851064,1.0425531914893618,14.148936170212766,1.7446808510638299
a1_rudeljaeger,16,3.6153846153846154,3.4615384615384617,0.7692307692307693,15.153846153846153,1.7692307692307692
a1_rudeljaeger,17,1.5,2.5,0.5,16,0
a4_urzeitliches_rudel,1,12,0,4,1,0
a4_urzeitliches_rudel,2,11.653333333333334,0.48333333333333334,4.486666666666666,2,0.45
a4_urzeitliches_rudel,3,10.436666666666667,0.9633333333333334,4.746666666666667,3,0.44666666666666666
a4_urzeitliches_rudel,4,8.541935483870967,1.303225806451613,4.696774193548387,3.8967741935483873,0.9032258064516129
a4_urzeitliches_rudel,5,7.245901639344262,1.681967213114754,4.580327868852459,4.79672131147541,0.8885245901639345
a4_urzeitliches_rudel,6,6.354515050167224,2.05685618729097,4.183946488294314,5.625418060200669,0.9899665551839465
a4_urzeitliches_rudel,7,5.620938628158845,2.454873646209386,3.6859205776173285,6.404332129963899,1.2779783393501805
a4_urzeitliches_rudel,8,5.04296875,2.83984375,3.64453125,7.234375,1.19140625
a4_urzeitliches_rudel,9,4.846456692913386,3.37007874015748,3.2874015748031495,7.618110236220472,1.5078740157480315
a4_urzeitliches_rudel,10,4.598765432098766,3.537037037037037,2.765432098765432,9.08641975308642,1.5617283950617284
a4_urzeitliches_rudel,11,4.239130434782608,3.4130434782608696,2.347826086956522,9.746376811594203,1.3623188405797102
a4_urzeitliches_rudel,12,3.911764705882353,3.4411764705882355,2.303921568627451,10.794117647058824,1.2156862745098038
a4_urzeitliches_rudel,13,3.875,3.486111111111111,2.3194444444444446,11.5,1.3055555555555556
a4_urzeitliches_rudel,14,4.387096774193548,3.7096774193548385,1.3548387096774193,12.161290322580646,1.7096774193548387
a4_urzeitliches_rudel,15,4.647058823529412,3.176470588235294,1.8823529411764706,13.823529411764707,1.4705882352941178
a4_urzeitliches_rudel,16,4,4.5,0.5,13.5,3
h1_solidaritaet,1,12,0,4,1,0
h1_solidaritaet,2,11.766666666666667,0.5166666666666667,4.3933333333333335,2,0.47
h1_solidaritaet,3,11.006666666666666,1.31,4.44,3,0.57
h1_solidaritaet,4,9.913907284768213,1.7119205298013245,4.430463576158941,3.9735099337748343,0.7615894039735099
h1_solidaritaet,5,8.701986754966887,2.2218543046357615,4.119205298013245,4.943708609271523,1.1754966887417218
h1_solidaritaet,6,7.666666666666667,2.9,3.38,5.883333333333334,1.39
h1_solidaritaet,7,6.892976588628763,3.0434782608695654,2.963210702341137,6.832775919732441,1.3846153846153846
h1_solidaritaet,8,6.273885350318471,3.375796178343949,2.343949044585987,7.506369426751593,1.589171974522293
h1_solidaritaet,9,5.013698630136986,3.3767123287671232,1.8253424657534247,8.434931506849315,1.4965753424657535
h1_solidaritaet,10,4.230088495575221,3.34070796460177,1.5221238938053097,9.548672566371682,1.3805309734513274
h1_solidaritaet,11,3.9732620320855614,3.2941176470588234,1.6203208556149733,10.53475935828877,1.411764705882353
h1_solidaritaet,12,3.786206896551724,3.193103448275862,1.3241379310344827,11.393103448275863,1.1517241379310346
h1_solidaritaet,13,3.3867924528301887,3.0283018867924527,1.2735849056603774,12.339622641509434,1.028301886792453
h1_solidaritaet,14,2.948051948051948,2.8701298701298703,1.155844155844156,13.207792207792208,0.961038961038961
h1_solidaritaet,15,3.44,3.18,1.3,14.06,1.16
h1_solidaritaet,16,2.5675675675675675,3.27027027027027,0.8108108108108109,14.756756756756756,1.5135135135135136
h1_solidaritaet,17,1,4.333333333333333,1.6666666666666667,16,2.5
h2_schicht,1,12,0,4,1,0
h2_schicht,2,11.753333333333334,0.6666666666666666,4.28,2,0.6133333333333333
h2_schicht,3,11.34,1.52,4.346666666666667,3,0.9233333333333333
