deckId,round,averageBaseHealth,averageBoardSize,averageHandSize,averageUnusedEnergy,averageControlledLanes
forschung_muskelkraft__mit_pc,1,10,0,4,1,0
forschung_muskelkraft__mit_pc,2,9.143333333333333,0,5,2,0
forschung_muskelkraft__mit_pc,3,7.498344370860927,0.804635761589404,5.7052980132450335,2.9950331125827816,0.6854304635761589
forschung_muskelkraft__mit_pc,4,5.429967426710098,1.4429967426710097,5.5,3.8843648208469057,0.8648208469055375
forschung_muskelkraft__mit_pc,5,4.60731319554849,2.0890302066772657,5.503974562798092,4.596184419713832,0.7615262321144675
forschung_muskelkraft__mit_pc,6,4.537005163511187,2.4939759036144578,6.256454388984509,5.4716006884681585,1.242685025817556
forschung_muskelkraft__mit_pc,7,4.316981132075472,3.147169811320755,6.571698113207547,6.379245283018868,1.6358490566037736
forschung_muskelkraft__mit_pc,8,4.08245243128964,3.923890063424947,6.862579281183932,7.424947145877378,1.7188160676532769
forschung_muskelkraft__mit_pc,9,3.496598639455782,4.26077097505669,7.054421768707483,8.37641723356009,1.8027210884353742
forschung_muskelkraft__mit_pc,10,3.7757009345794392,4.2274143302180685,7.4392523364485985,9.476635514018692,2.0093457943925235
forschung_muskelkraft__mit_pc,11,3.701067615658363,4.249110320284697,7.604982206405694,10.423487544483987,1.708185053380783
forschung_muskelkraft__mit_pc,12,3.6954545454545453,4.2,7.786363636363636,11.340909090909092,1.690909090909091
forschung_muskelkraft__mit_pc,13,3.614130434782609,4.2771739130434785,7.483695652173913,12.440217391304348,1.5108695652173914
forschung_muskelkraft__mit_pc,14,3.858156028368794,4.205673758865248,6.872340425531915,13.333333333333334,1.4113475177304964
forschung_muskelkraft__mit_pc,15,3.1259259259259258,4.17037037037037,6.296296296296297,13.881481481481481,1.2222222222222223
forschung_muskelkraft__mit_pc,16,2.426829268292683,4.353658536585366,5.865853658536586,14.634146341463415,1.1341463414634145
forschung_muskelkraft__mit_pc,17,1.0833333333333333,4.583333333333333,7,16.291666666666668,1.4166666666666667
forschung_muskelkraft__ohne_pc,1,10,0,4,1,0
forschung_muskelkraft__ohne_pc,2,9.166666666666666,0,5,2,0
forschung_muskelkraft__ohne_pc,3,7.572368421052632,0.8470394736842105,5.615131578947368,2.9703947368421053,0.7039473684210527
forschung_muskelkraft__ohne_pc,4,5.635467980295567,1.5402298850574712,5.318555008210181,3.8916256157635467,0.9408866995073891
forschung_muskelkraft__ohne_pc,5,4.882825040128411,2.171749598715891,5.276083467094703,4.626003210272873,0.8796147672552167
forschung_muskelkraft__ohne_pc,6,4.429284525790349,2.545757071547421,6.18801996672213,5.314475873544093,1.2795341098169717
forschung_muskelkraft__ohne_pc,7,4.133843212237093,2.9235181644359463,6.596558317399618,6.177820267686425,1.3652007648183557
forschung_muskelkraft__ohne_pc,8,3.6609808102345416,3.605543710021322,6.688699360341151,6.980810234541578,1.4946695095948828
forschung_muskelkraft__ohne_pc,9,3.1601049868766404,3.9238845144356955,6.448818897637795,7.89501312335958,1.7165354330708662
forschung_muskelkraft__ohne_pc,10,3.3423076923076924,3.957692307692308,6.734615384615385,9.303846153846154,1.8307692307692307
forschung_muskelkraft__ohne_pc,11,3.5123152709359604,4.029556650246305,6.458128078817734,10.334975369458128,1.7586206896551724
forschung_muskelkraft__ohne_pc,12,3.343949044585987,3.8471337579617835,6.286624203821656,11.02547770700637,1.643312101910828
forschung_muskelkraft__ohne_pc,13,3.265625,3.921875,5.3046875,12.3515625,1.5
forschung_muskelkraft__ohne_pc,14,3.4623655913978495,3.763440860215054,4.344086021505376,13.344086021505376,1.6451612903225807
forschung_muskelkraft__ohne_pc,15,2.532608695652174,3.7065217391304346,3.902173913043478,13.978260869565217,1.5217391304347827
forschung_muskelkraft__ohne_pc,16,1.5,3.625,3.9375,15,0.90625
forschung_muskelkraft__ohne_pc,17,0,2.625,1.125,15.75,0.75
rudeljaeger__mit_pc,1,10,0,4,1,0
rudeljaeger__mit_pc,2,9.686666666666667,0.6983333333333334,4.276666666666666,2,0.6983333333333334
rudeljaeger__mit_pc,3,9.345335515548282,1.4991816693944353,4.268412438625204,2.950900163666121,1.0343698854337153
rudeljaeger__mit_pc,4,8.660883280757098,1.8722397476340693,4.093059936908517,3.7444794952681386,1.4589905362776026
rudeljaeger__mit_pc,5,7.996677740863787,2.4584717607973423,3.792358803986711,4.601328903654485,1.4501661129568106
rudeljaeger__mit_pc,6,6.8388278388278385,2.7051282051282053,3.446886446886447,5.461538461538462,1.4835164835164836
rudeljaeger__mit_pc,7,6.153374233128834,3.147239263803681,2.850715746421268,6.368098159509202,1.4478527607361964
rudeljaeger__mit_pc,8,5.2953488372093025,3.427906976744186,2.297674418604651,7.404651162790698,1.2744186046511627
rudeljaeger__mit_pc,9,4.535714285714286,3.291208791208791,2.0934065934065935,8.456043956043956,1.1675824175824177
rudeljaeger__mit_pc,10,4.388888888888889,3.240740740740741,2.151851851851852,9.488888888888889,0.9703703703703703
rudeljaeger__mit_pc,11,4.045454545454546,3.209090909090909,2.081818181818182,10.468181818181819,0.8909090909090909
rudeljaeger__mit_pc,12,3.6455026455026456,3.3174603174603177,1.8518518518518519,11.412698412698413,0.8677248677248677
rudeljaeger__mit_pc,13,3.536231884057971,3.217391304347826,1.710144927536232,12.485507246376812,0.9710144927536232
rudeljaeger__mit_pc,14,3.25,3.5267857142857144,1.8660714285714286,13.598214285714286,0.6875
rudeljaeger__mit_pc,15,2.5765765765765765,3.5135135135135136,1.9189189189189189,13.91891891891892,1.018018018018018
