deckId,round,averageBaseHealth,averageBoardSize,averageHandSize,averageUnusedEnergy,averageControlledLanes
forschung_muskelkraft,1,10,0,4,1,0
forschung_muskelkraft,2,9.138666666666667,0,5,2,0
forschung_muskelkraft,3,7.601454064771977,0.7937871777924653,5.6655651024454725,2.9771976206212822,0.643093192333113
forschung_muskelkraft,4,5.873239436619718,1.5879462823452342,5.483786439567639,3.9014084507042255,1.0517523747133966
forschung_muskelkraft,5,5.117647058823529,2.1478713032174195,5.454013649658759,4.7097822554436135,0.818329541761456
forschung_muskelkraft,6,4.710900473933649,2.453960731211916,5.859851049424509,5.53385240352065,1.2555856465809072
forschung_muskelkraft,7,4.292089985486212,2.8701015965166907,5.90021770682148,6.373730043541364,1.3864296081277214
forschung_muskelkraft,8,3.867917155138726,3.3513091051191872,5.601016021883548,7.186400937866354,1.4943337241109809
forschung_muskelkraft,9,3.4652213188798555,3.768292682926829,5.306233062330623,8.061878952122855,1.576784101174345
forschung_muskelkraft,10,3.418118466898955,3.7717770034843205,5.1329849012775846,9.17247386759582,1.6533101045296168
forschung_muskelkraft,11,3.5123188405797103,3.758695652173913,4.910144927536232,10.03695652173913,1.6644927536231884
forschung_muskelkraft,12,3.3946395563770797,3.779112754158965,4.7227356746765246,11.073937153419593,1.6497227356746764
forschung_muskelkraft,13,3.3353960396039604,3.743811881188119,4.483910891089109,11.95420792079208,1.618811881188119
forschung_muskelkraft,14,3.1592775041050905,3.779967159277504,3.7307060755336616,13.203612479474549,1.5533661740558293
forschung_muskelkraft,15,2.869022869022869,3.496881496881497,2.9064449064449063,13.877338877338877,1.5675675675675675
forschung_muskelkraft,16,1.994871794871795,3.2153846153846155,2.117948717948718,14.882051282051282,1.3794871794871795
forschung_muskelkraft,17,1.326086956521739,2.9565217391304346,1.9130434782608696,16.32608695652174,1.0217391304347827
rudeljaeger,1,10,0,4,1,0
rudeljaeger,2,9.692666666666666,0.725,4.25,2,0.725
rudeljaeger,3,9.3262084840513,1.5268003946070372,4.23709306149293,2.9608681354817494,1.0986517592897074
rudeljaeger,4,8.69728,1.88032,4.1024,3.808,1.44032
rudeljaeger,5,7.923027375201288,2.51658615136876,3.803864734299517,4.553623188405797,1.518840579710145
rudeljaeger,6,6.936965811965812,2.7724358974358974,3.4455128205128207,5.428774928774929,1.5957977207977208
rudeljaeger,7,6.167272727272727,2.968080808080808,2.9535353535353535,6.3539393939393936,1.4335353535353534
rudeljaeger,8,4.88021778584392,3.047186932849365,2.1837568058076227,7.29038112522686,1.2490925589836661
rudeljaeger,9,4.029082774049217,2.9848993288590604,1.6851230425055927,8.384787472035795,1.1023489932885906
rudeljaeger,10,3.5895953757225434,2.8128612716763004,1.43135838150289,9.460260115606937,0.9898843930635838
rudeljaeger,11,3.0366726296958855,2.8264758497316635,1.2361359570661896,10.361359570661897,0.9767441860465116
rudeljaeger,12,2.8534278959810875,2.9113475177304964,1.2210401891252955,11.340425531914894,0.9787234042553191
rudeljaeger,13,2.5767366720516964,2.9305331179321485,1.121163166397415,12.245557350565429,1.011308562197092
rudeljaeger,14,2.1457399103139014,2.890134529147982,1.100896860986547,13.181614349775785,0.9327354260089686
rudeljaeger,15,1.9494047619047619,2.8958333333333335,0.9196428571428571,13.610119047619047,0.9642857142857143
rudeljaeger,16,1.5384615384615385,2.951923076923077,0.9134615384615384,14.490384615384615,1.0769230769230769
rudeljaeger,17,0.875,2.75,0.4375,16.3125,0.625
solidaritaet_ueberleben,1,10,0,4,1,0
solidaritaet_ueberleben,2,9.388,0.4186666666666667,4.462,2,0.4186666666666667
solidaritaet_ueberleben,3,8.78162450066578,1.2310252996005326,4.583888149134487,2.9960053262316912,0.7353528628495339
solidaritaet_ueberleben,4,7.504115903852486,1.7375699703654923,4.5607507408626935,3.9519262430029634,0.9344748106684228
solidaritaet_ueberleben,5,6.698854337152209,2.3476268412438626,4.436988543371522,4.851063829787234,1.102127659574468
solidaritaet_ueberleben,6,5.863877822045152,2.6829349269588314,4.201195219123506,5.700199203187251,1.3635458167330676
solidaritaet_ueberleben,7,5.25144804088586,2.900511073253833,4.033730834752982,6.551618398637138,1.293015332197615
solidaritaet_ueberleben,8,4.770503101309441,3.292212267401792,3.4772570640937284,7.178842177808408,1.30289455547898
solidaritaet_ueberleben,9,4.397916666666666,3.5429166666666667,2.9325,8.225,1.2795833333333333
solidaritaet_ueberleben,10,4.047907211296016,3.5158850226928897,2.4785678265254663,9.225416036308623,1.2289460413514877
solidaritaet_ueberleben,11,3.630876747141042,3.428843710292249,2.1956797966963153,10.24841168996188,1.1709021601016518
solidaritaet_ueberleben,12,3.4070866141732283,3.336220472440945,2.0039370078740157,11.16771653543307,1.089763779527559
solidaritaet_ueberleben,13,3.199380165289256,3.2551652892561984,1.8605371900826446,12.21694214876033,1.0382231404958677
solidaritaet_ueberleben,14,2.947019867549669,3.2543046357615895,1.7470198675496689,13.139072847682119,1.0026490066225167
solidaritaet_ueberleben,15,2.4181240063593004,3.262321144674086,1.56120826709062,13.585055643879173,1.1732909379968204
solidaritaet_ueberleben,16,1.9962686567164178,3.4402985074626864,1.4029850746268657,14.395522388059701,1.257462686567164
solidaritaet_ueberleben,17,1.1833333333333333,3.466666666666667,0.95,16.05,1.4
urzeitliche_kolosse,1,10,0,4,1,0
urzeitliche_kolosse,2,9.546666666666667,0.5113333333333333,4.463666666666667,2,0.5113333333333333
urzeitliche_kolosse,3,8.930294020482325,1.132804757185332,4.695738354806739,2.9742319127849357,0.7182028410967956
urzeitliche_kolosse,4,7.891750896641669,1.4678839256602543,4.684382132376916,3.8924029996739486,1.1180306488425171
urzeitliche_kolosse,5,7.0916424653113905,2.0596966763472087,4.583736689254598,4.677960632462084,1.0058083252662149
urzeitliche_kolosse,6,6.018406961178045,2.2573627844712183,4.331994645247657,5.4514725568942435,1.2319277108433735
urzeitliche_kolosse,7,5.286585365853658,2.609375,4.052210365853658,6.267530487804878,1.2035060975609757
urzeitliche_kolosse,8,4.246591351772497,2.7514608492403583,3.670821971172575,6.538761199844176,0.9516945851188158
urzeitliche_kolosse,9,3.9103819784524974,2.959843290891283,3.269833496571988,7.279627815866797,0.8677766895200784
urzeitliche_kolosse,10,3.588235294117647,3.0792156862745097,2.6745098039215685,8.544313725490197,0.9192156862745098
urzeitliche_kolosse,11,3.1655555555555557,3.14,2.046666666666667,9.613333333333333,0.9333333333333333
urzeitliche_kolosse,12,2.9775086505190314,3.0622837370242215,1.7664359861591696,10.818339100346021,0.8685121107266436
urzeitliche_kolosse,13,2.84251968503937,3.141732283464567,1.4225721784776904,11.68766404199475,0.9081364829396326
urzeitliche_kolosse,14,2.4952380952380953,3.3047619047619046,1.3095238095238095,12.833333333333334,0.9571428571428572
urzeitliche_kolosse,15,2.44,3.1266666666666665,1.1666666666666667,13.353333333333333,0.96
urzeitliche_kolosse,16,1.9365079365079365,3.1746031746031744,1.0634920634920635,13.682539682539682,0.7301587301587301
urzeitliche_kolosse,17,1.6,3.6,1.6,14.7,0.9
