deckA,deckB,botA,botB,startingPlayer,games,winsA,winsB,draws,winRateA,averageRounds,averageRemainingBaseHealth
forschung_muskelkraft,rudeljaeger,standard,standard,0,100,50,48,2,0.5102040816326531,8.12,4.6
forschung_muskelkraft,rudeljaeger,standard,standard,1,100,59,41,0,0.59,8.67,5.38
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,0,100,62,36,2,0.6326530612244898,10.9,4.94
forschung_muskelkraft,solidaritaet_ueberleben,standard,standard,1,100,61,38,1,0.6161616161616161,11.42,4.19
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,0,100,47,53,0,0.47,8.63,3.7
forschung_muskelkraft,urzeitliche_kolosse,standard,standard,1,100,40,60,0,0.4,8.79,4.5
rudeljaeger,solidaritaet_ueberleben,standard,standard,0,100,45,52,3,0.4639175257731959,10.23,3.91
rudeljaeger,solidaritaet_ueberleben,standard,standard,1,100,52,47,1,0.5252525252525253,10.21,4.61
rudeljaeger,urzeitliche_kolosse,standard,standard,0,100,49,51,0,0.49,8.18,3.83
rudeljaeger,urzeitliche_kolosse,standard,standard,1,100,49,51,0,0.49,8.09,3.96
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,0,100,36,63,1,0.36363636363636365,9.56,4.19
solidaritaet_ueberleben,urzeitliche_kolosse,standard,standard,1,100,35,65,0,0.35,10.38,4.22
