deckId,round,averageBaseHealth,averageBoardSize,averageHandSize,averageUnusedEnergy,averageControlledLanes
forschung_muskelkraft,1,10,0,4,1,0
forschung_muskelkraft,2,9.128333333333334,0,5,2,0
forschung_muskelkraft,3,7.489396411092986,0.7406199021207178,5.557096247960848,2.965742251223491,0.6060358890701468
forschung_muskelkraft,4,5.289204097714736,1.3412135539795114,5.46414499605989,3.7541371158392436,0.7825059101654847
forschung_muskelkraft,5,4.539967373572594,1.9567699836867862,5.463295269168026,4.462479608482871,0.7455138662316476
forschung_muskelkraft,6,4.395215311004785,2.444976076555024,6.14066985645933,5.417224880382775,1.2162679425837322
forschung_muskelkraft,7,4.273118279569893,3.0086021505376346,6.435483870967742,6.372043010752688,1.410752688172043
forschung_muskelkraft,8,3.9604790419161677,3.861077844311377,6.619161676646707,7.304191616766467,1.4047904191616767
forschung_muskelkraft,9,3.7399425287356323,4.113505747126437,6.747126436781609,8.364942528735632,1.6580459770114941
forschung_muskelkraft,10,3.8161350844277675,4.097560975609756,7.163227016885553,9.409005628517823,1.5347091932457786
forschung_muskelkraft,11,3.921397379912664,4.11353711790393,7.5152838427947595,10.558951965065502,1.445414847161572
forschung_muskelkraft,12,3.6520681265206814,4.177615571776156,7.5036496350364965,11.510948905109489,1.5206812652068127
forschung_muskelkraft,13,3.6865671641791047,4.244776119402985,7.080597014925373,12.414925373134329,1.4447761194029851
forschung_muskelkraft,14,3.677685950413223,4.2272727272727275,6.690082644628099,13.392561983471074,1.2644628099173554
forschung_muskelkraft,15,3.0782608695652174,4.1173913043478265,6.126086956521739,13.969565217391304,1.208695652173913
forschung_muskelkraft,16,2.5950920245398774,4.294478527607362,6.361963190184049,15.07361963190184,1.0736196319018405
forschung_muskelkraft,17,0.9538461538461539,4.1692307692307695,5.492307692307692,15.492307692307692,1
forschung_muskelkraft,18,-1,5,4,18,1
rudeljaeger,1,10,0,4,1,0
rudeljaeger,2,9.681666666666667,0.6766666666666666,4.285833333333334,2,0.6766666666666666
rudeljaeger,3,9.18512530315279,1.4672594987873888,4.267582861762328,2.9207760711398545,1.0929668552950687
rudeljaeger,4,8.400625978090767,1.8411580594679187,4.130672926447574,3.69170579029734,1.4358372456964006
rudeljaeger,5,7.395983935742972,2.4160642570281126,3.793574297188755,4.358232931726907,1.461847389558233
rudeljaeger,6,6.427995971802618,2.6515609264853977,3.4944612286002013,5.32527693856999,1.4803625377643506
rudeljaeger,7,5.960639606396064,3.057810578105781,3.054120541205412,6.439114391143911,1.3751537515375154
rudeljaeger,8,4.694481830417227,3.3526244952893673,2.335127860026918,7.309555854643338,1.0605652759084792
rudeljaeger,9,4.368606701940036,3.257495590828924,2.1393298059964727,8.403880070546737,0.8853615520282186
rudeljaeger,10,4.280742459396752,3.25754060324826,2.1299303944315544,9.59860788863109,0.9187935034802784
rudeljaeger,11,4.002808988764045,3.241573033707865,2.081460674157303,10.592696629213483,0.7640449438202247
rudeljaeger,12,3.8509933774834435,3.3509933774834435,1.9867549668874172,11.443708609271523,0.8509933774834437
rudeljaeger,13,3.289156626506024,3.3052208835341363,1.8514056224899598,12.477911646586346,0.7349397590361446
rudeljaeger,14,3.097826086956522,3.3967391304347827,2.0760869565217392,13.375,0.7065217391304348
rudeljaeger,15,2.558282208588957,3.4478527607361964,2.079754601226994,14.196319018404909,0.7791411042944786
rudeljaeger,16,1.75,3.58,2.47,14.79,0.73
rudeljaeger,17,0.5357142857142857,3.607142857142857,1.7142857142857142,16.321428571428573,0.5714285714285714
solidaritaet_ueberleben,1,10,0,4,1,0
solidaritaet_ueberleben,2,9.34,0.41583333333333333,4.491666666666666,2,0.41583333333333333
solidaritaet_ueberleben,3,8.57641196013289,1.2840531561461794,4.562292358803987,2.990033222591362,0.7948504983388704
solidaritaet_ueberleben,4,7.277187244480785,1.8184791496320523,4.533115290269828,3.927228127555192,1.0834014717906786
solidaritaet_ueberleben,5,6.30111821086262,2.443290734824281,4.395367412140575,4.718051118210862,1.2476038338658146
solidaritaet_ueberleben,6,5.595258255715495,2.774767146486029,4.157493649449619,5.574089754445385,1.414055884843353
solidaritaet_ueberleben,7,5.252268602540835,3.1560798548094375,3.999092558983666,6.464609800362976,1.4237749546279492
solidaritaet_ueberleben,8,4.657036346691519,3.6999068033550793,3.5610438024231126,7.1891891891891895,1.2479030754892824
solidaritaet_ueberleben,9,4.464068209500609,3.7807551766138854,3.3970767356881852,8.397076735688184,1.1875761266747868
solidaritaet_ueberleben,10,4.340694006309148,3.7129337539432177,3.178233438485804,9.552050473186119,1.0425867507886435
solidaritaet_ueberleben,11,3.9693693693693692,3.7405405405405405,3.082882882882883,10.475675675675676,0.9405405405405406
solidaritaet_ueberleben,12,3.9587852494577005,3.6203904555314534,2.9718004338394794,11.342733188720173,0.8481561822125814
solidaritaet_ueberleben,13,3.7289473684210526,3.6605263157894736,2.973684210526316,12.43157894736842,0.7394736842105263
solidaritaet_ueberleben,14,3.514469453376206,3.7781350482315115,3.0257234726688105,13.340836012861736,0.7009646302250804
solidaritaet_ueberleben,15,3.199300699300699,3.7097902097902096,2.8986013986013988,13.912587412587413,0.6853146853146853
solidaritaet_ueberleben,16,2.2282608695652173,3.760869565217391,2.8369565217391304,14.516304347826088,0.532608695652174
solidaritaet_ueberleben,17,0.9365079365079365,3.888888888888889,3.238095238095238,15.746031746031745,0.6190476190476191
solidaritaet_ueberleben,18,2,4,5.5,16.5,0
urzeitliche_kolosse,1,10,0,4,1,0
urzeitliche_kolosse,2,9.611666666666666,0.535,4.4275,2,0.535
urzeitliche_kolosse,3,8.867321867321868,1.1597051597051597,4.651105651105651,2.951678951678952,0.7641277641277642
urzeitliche_kolosse,4,7.753164556962025,1.5522151898734178,4.594936708860759,3.7642405063291138,1.2183544303797469
urzeitliche_kolosse,5,6.964143426294821,2.1593625498007967,4.485258964143426,4.431075697211155,1.1633466135458168
urzeitliche_kolosse,6,6.1011959521619135,2.3817847286108558,4.276908923643054,5.289788408463662,1.3275068997240111
