matchId,deckId,botType,side,round,targetsAffected,attackRemoved,healthRemoved,boardValueBefore,boardValueAfter,boardValueRemoved,won,winWithinOneRound,winWithinTwoRounds
match-a243a4d5-679,rudeljaeger,standard,0,6,3,13,13,29,15,14,false,false,false
match-a243a4d5-679,solidaritaet_ueberleben,standard,1,8,3,7,6,16,11,5,true,false,false
match-86bb09bb-680,rudeljaeger,standard,0,6,4,18,21,43,20,23,true,false,false
match-86bb09bb-680,solidaritaet_ueberleben,standard,1,10,4,3,2,9,8,1,false,false,false
match-00087a79-681,rudeljaeger,standard,0,9,4,18,18,40,18,22,true,false,false
match-00087a79-681,solidaritaet_ueberleben,standard,1,11,5,15,11,31,19,12,false,false,false
match-f2a33bf3-683,rudeljaeger,standard,0,6,5,19,25,49,25,24,true,false,false
match-6bf08cb1-684,solidaritaet_ueberleben,standard,1,7,5,10,8,23,17,6,true,false,false
match-6bf08cb1-684,rudeljaeger,standard,0,12,5,11,12,28,17,11,false,false,false
match-5e8b4e2c-686,rudeljaeger,standard,0,6,3,10,13,26,11,15,false,false,false
match-d7d8bee9-687,rudeljaeger,standard,0,6,5,14,16,35,21,14,true,false,false
match-aeeac54a-690,rudeljaeger,standard,0,6,2,5,6,13,6,7,true,true,true
match-1ad2f783-693,solidaritaet_ueberleben,standard,1,6,3,4,4,11,7,4,true,false,false
match-1ad2f783-693,rudeljaeger,standard,0,12,5,12,15,32,20,12,false,false,false
match-94204840-694,rudeljaeger,standard,0,7,2,9,11,22,10,12,false,false,false
match-94204840-694,solidaritaet_ueberleben,standard,1,8,4,11,9,24,17,7,true,false,false
match-0d6db8fe-695,solidaritaet_ueberleben,standard,1,6,4,12,10,26,20,6,false,false,false
match-0d6db8fe-695,rudeljaeger,standard,0,11,4,1,1,6,6,0,true,false,false
match-453d0d42-696,rudeljaeger,standard,0,6,3,11,12,26,15,11,false,false,false
match-453d0d42-696,solidaritaet_ueberleben,standard,1,7,5,6,5,16,13,3,true,false,false
match-30564549-700,rudeljaeger,standard,0,6,3,8,10,21,14,7,false,false,false
match-30564549-700,solidaritaet_ueberleben,standard,1,11,4,9,2,15,14,1,true,true,true
match-a9a3b606-701,solidaritaet_ueberleben,standard,1,6,3,10,8,21,15,6,false,false,false
match-3dbb83ce-702,solidaritaet_ueberleben,standard,1,6,4,17,12,33,20,13,false,false,false
match-b708f48b-703,solidaritaet_ueberleben,standard,1,10,3,9,8,20,15,5,true,true,true
match-c46e3310-705,solidaritaet_ueberleben,standard,1,10,4,15,8,27,18,9,true,false,false
match-c46e3310-705,rudeljaeger,standard,0,11,3,6,5,14,11,3,false,false,false
match-588600d8-706,rudeljaeger,standard,0,6,3,9,15,27,15,12,false,false,false
